Start Station Name,Rides started
Cicero Ave & Grace St,54
Cicero Ave & Lake St,34
Cicero Ave & Le Moyne St - midblock,1
Cicero Ave & North Ave,2
Cicero Ave & Quincy St,27
Cicero Ave & Roscoe St,7
Cicero Ave & Wellington Ave,78
Cicero Ave & Wrightwood Ave,56
Cityfront Plaza Dr & Pioneer Ct,6762
Claremont Ave & 71st St,5
Claremont Ave & Hirsch St,1845
Clarendon Ave & Gordon Ter,9696
Clarendon Ave & Junior Ter,8067
Clarendon Ave & Leland Ave,4864
Clark St & 9th St (AMLI),3916
Clark St & Armitage Ave,15247
Clark St & Berwyn Ave,6948
Clark St & Bryn Mawr Ave,5603
Clark St & Chicago Ave,7414
Clark St & Columbia Ave,1704
Clark St & Drummond Pl,13730
Clark St & Elm St,22040
Clark St & Elmdale Ave,2397
Clark St & Grace St,7410
Clark St & Ida B Wells Dr,4371
Clark St & Jarvis Ave,909
Clark St & Lake St,9690
Clark St & Leland Ave,6236
Clark St & Lincoln Ave,13878
Clark St & Lunt Ave,2035
Clark St & Montrose Ave,4206
Clark St & Newport St,11686
Clark St & North Ave,6574
Clark St & Randolph St,10310
Clark St & Schiller St,12057
Clark St & Schreiber Ave,2276
Clark St & Touhy Ave,716
Clark St & Wellington Ave,10128
Clark St & Winnemac Ave,9524
Clark St & Wrightwood Ave,15567
Clifton Ave & Armitage Ave,6611
Clinton St & 18th St,1998
Clinton St & Jackson Blvd,14078
Clinton St & Lake St,13041
Clinton St & Madison St,18931
Clinton St & Polk St,694
Clinton St & Roosevelt Rd,5443
Clinton St & Tilden St,3032
Clinton St & Washington Blvd,19827
Clybourn Ave & Division St,5232
Clyde Ave & 87th St,31
Colfax Ave & 83rd St,2
Columbus Dr & Randolph St,11441
Commercial Ave & 100th St,19
Commercial Ave & 130th St,24
Commercial Ave & 83rd St,82
Commercial Ave & 89th St,7
Conservatory Dr & Lake St,382
Constance Ave & 95th St,40
Corliss Ave & 103rd St,1
Cornell Ave & Hyde Park Blvd,5508
Cornell Dr & Hayes Dr,53
Cottage Grove & 84th St,2
Cottage Grove & 85th St,3
Cottage Grove & 86th St,7
Cottage Grove Ave & 111th Pl,127
Cottage Grove Ave & 111th St,16
Cottage Grove Ave & 43rd St,923
Cottage Grove Ave & 47th St,974
Cottage Grove Ave & 51st St,950
Cottage Grove Ave & 63rd St,764
Cottage Grove Ave & 67th St,178
Cottage Grove Ave & 71st St,93
Cottage Grove Ave & 75th St,5
Cottage Grove Ave & 78th St,98
Cottage Grove Ave & 83rd St,183
Cottage Grove Ave & 87th St,14
Cottage Grove Ave & 92nd St,1
Cottage Grove Ave & 98th St,12
Cottage Grove Ave & Oakwood Blvd,428
Daley Center Plaza,10649
Damen Ave & 33rd St,33
Damen Ave & 47th St,6
Damen Ave & 51st St,27
Damen Ave & 59th St,32
Damen Ave & 74th St,12
Damen Ave & 80th St,1
Damen Ave & Charleston St,3162
Damen Ave & Chicago Ave,6983
Damen Ave & Clybourn Ave,2869
Damen Ave & Cortland St,6605
Damen Ave & Coulter St,496
Damen Ave & Cullerton St,1933
Damen Ave & Division St,5726
Damen Ave & Foster Ave,2990
Damen Ave & Grand Ave,3733
Damen Ave & Leland Ave,3771
Damen Ave & Madison St,1711
Damen Ave & Melrose Ave,2178
Damen Ave & Pershing Rd,241
Damen Ave & Pierce Ave,12383
