Start Station Name,Rides Started
Christiana Ave & 55th St,13
Christiana Ave & Archer Ave,40
Christiana Ave & Belmont Ave,28
Christiana Ave & Bryn Mawr Ave,1
Christiana Ave & Lawrence Ave,1002
Cicero Ave & Altgeld St,3
Cicero Ave & Cortland St - midblock,5
Cicero Ave & Flournoy St,62
Cicero Ave & Grace St,148
Cicero Ave & Lake St,270
Cicero Ave & Le Moyne St - midblock,1
Cicero Ave & North Ave,9
Cicero Ave & Quincy St,102
Cicero Ave & Roscoe St,11
Cicero Ave & Wellington Ave,7
Cicero Ave & Wrightwood Ave,29
City Rack - Albany Ave & 103rd St,1
Cityfront Plaza Dr & Pioneer Ct,6014
Claremont Ave & 71st St,22
Claremont Ave & Hirsch St,1288
Clarendon Ave & Gordon Ter,4242
Clarendon Ave & Junior Ter,4378
Clarendon Ave & Leland Ave,2780
Clark St & 9th St (AMLI),2232
Clark St & Armitage Ave,13804
Clark St & Berwyn Ave,4477
Clark St & Bryn Mawr Ave,3054
Clark St & Chicago Ave,4733
Clark St & Columbia Ave,906
Clark St & Drummond Pl,9110
Clark St & Elm St,12997
Clark St & Elmdale Ave,1283
Clark St & Grace St,6482
Clark St & Ida B Wells Dr,2134
Clark St & Jarvis Ave,350
Clark St & Lake St,5824
Clark St & Leland Ave,3520
Clark St & Lincoln Ave,13392
Clark St & Lunt Ave,1315
Clark St & Montrose Ave,2798
Clark St & Newport St,12046
Clark St & North Ave,6176
Clark St & Randolph St,4756
Clark St & Schiller St,7722
Clark St & Schreiber Ave,1155
Clark St & Touhy Ave,430
Clark St & Wellington Ave,7321
Clark St & Winnemac Ave,6047
Clark St & Wrightwood Ave,10601
Clifton Ave & Armitage Ave,3910
Clinton St & 18th St,1295
Clinton St & Jackson Blvd,4455
Clinton St & Lake St,5110
Clinton St & Madison St,7368
Clinton St & Polk St,478
Clinton St & Roosevelt Rd,3100
Clinton St & Tilden St,1272
Clinton St & Washington Blvd,5858
Clybourn Ave & Division St,2196
Clyde Ave & 87th St,89
Colfax Ave & 83rd St,2
Columbus Dr & Randolph St,7126
Commercial Ave & 100th St,44
Commercial Ave & 130th St,169
Commercial Ave & 83rd St,141
Commercial Ave & 89th St,4
Conservatory Dr & Lake St,538
Constance Ave & 95th St,90
Corliss Ave & 133rd St,1
Cornell Ave & Hyde Park Blvd,3141
Cornell Dr & Hayes Dr,86
Cottage Grove & 84th St,1
Cottage Grove & 85th St,3
Cottage Grove & 86th St,14
Cottage Grove Ave & 111th Pl,90
Cottage Grove Ave & 111th St,12
Cottage Grove Ave & 43rd St,486
Cottage Grove Ave & 47th St,641
Cottage Grove Ave & 51st St,759
Cottage Grove Ave & 63rd St,574
Cottage Grove Ave & 67th St,236
Cottage Grove Ave & 71st St,201
Cottage Grove Ave & 75th St,3
Cottage Grove Ave & 78th St,96
Cottage Grove Ave & 83rd St,153
Cottage Grove Ave & 87th St,3
Cottage Grove Ave & 89th Pl,3
Cottage Grove Ave & 91st St,4
Cottage Grove Ave & 92nd St,1
Cottage Grove Ave & 98th St,5
Cottage Grove Ave & Oakwood Blvd,690
Daley Center Plaza,4967
Damen Ave & 33rd St,70
Damen Ave & 47th St,12
Damen Ave & 51st St,113
Damen Ave & 59th St,190
Damen Ave & 74th St,30
Damen Ave & 84th St,1
Damen Ave & Charleston St,3140
Damen Ave & Chicago Ave,4409
Damen Ave & Clybourn Ave,1918
Damen Ave & Cortland St,5910
Damen Ave & Coulter St,355
Damen Ave & Cullerton St,1320
Damen Ave & Division St,3948
Damen Ave & Foster Ave,1885
Damen Ave & Grand Ave,2056
Damen Ave & Leland Ave,2009
Damen Ave & Madison St,1485
Damen Ave & Melrose Ave,1791
Damen Ave & Pershing Rd,228
Damen Ave & Pierce Ave,9568
Damen Ave & Sunnyside Ave,1373
Damen Ave & Thomas St (Augusta Blvd),3205
Damen Ave & Wabansia Ave,1560
Damen Ave & Walnut (Lake) St,1344
Damen Ave & Wellington Ave,2495
Dauphin Ave & 103rd St,83
Dauphin Ave & 87th St,132
Dayton St & North Ave,4386
Dearborn Pkwy & Delaware Pl,7671
Dearborn St & Adams St,3228
Dearborn St & Erie St,9370
Dearborn St & Monroe St,5501
Dearborn St & Van Buren St,2763
Delano Ct & Roosevelt Rd,3088
Desplaines St & Jackson Blvd,3068
Desplaines St & Kinzie St,6520
Desplaines St & Randolph St,3957
Divvy Valet - Oakwood Beach,11
Dodge Ave & Church St,456
Dodge Ave & Main St,282
Dodge Ave & Mulford St,223
Dorchester Ave & 49th St,520
Dorchester Ave & 63rd St,513
Doty Ave & 111th St,129
Drake Ave & Addison St,737
Drake Ave & Montrose Ave,631
Drexel Ave & 87th St,1
Dusable Harbor,14104
DuSable Lake Shore Dr & Belmont Ave,10571
DuSable Lake Shore Dr & Diversey Pkwy,10500
DuSable Lake Shore Dr & Monroe St,31863
DuSable Lake Shore Dr & North Blvd,23657
DuSable Lake Shore Dr & Wellington Ave,9265
DuSable Museum,457
East End Ave & 87th St,79
Eastlake Ter & Howard St,101
Eastlake Ter & Rogers Ave,704
Eberhart Ave & 131st St,72
Eberhart Ave & 61st St,266
Eberhart Ave & 91st St,79
Eckhart Park,3366
Eggleston Ave & 114th St,2
Eggleston Ave & 69th St,149
Eggleston Ave & 92nd St,77
Eli Whitney Public School,12
Elizabeth (May) St & Fulton St,1583
Elizabeth St & 47th St,64
Elizabeth St & 59th St,43
Elizabeth St & 92nd St,104
Elizabeth St & Fulton St,350
